theater_name,theater_addr,movie_name,showtimes,img_src
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Doctor Strange,"1:35pm	4:35pm	7:35pm	10:30pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/186645/doctorstrange-newposterart.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Hacksaw Ridge,12:00pm,http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194560/hacksawridge-posterart.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Trolls,"11:20am	1:40pm	4:10pm	6:50pm	9:20pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/159278/trolls_poster.jpg
Cinemark Baldwin Hills and XD,"4020 Marlton Ave.	 Los Angeles	 CA 90008",Moonlight (2016),"2:00pm	4:50pm	7:50pm	10:40pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194816/moonlight-web_72dpi.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Spirited Away: 15th Anniversary,7:00pm,http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/197438/spiritedaway.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Incarnate,"9:40am	12:05pm	5:20pm	7:45pm	10:15pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/193285/incarnate-final-art.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Allied,"10:15am	1:25pm	4:25pm	7:25pm	10:35pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194908/allied_online_payoff_1-sht-.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Bad Santa 2,"10:40am	1:20pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194623/bs2-poster.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Moana 3D,"12:00pm	2:30pm	6:30pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/197521/moana57d7ae7e1548f.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Moana,"9:00am	10:00am	1:00pm	3:15pm	4:15pm	7:30pm	9:30pm	10:45pm	11:00am	2:00pm	5:00pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/185801/moana57d7ae7e1548f.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Rules Don't Apply,10:05am,http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/193097/rulesdontapply_27x40_1sheet.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Bleed for This,4:30pm,http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/193953/bleedforthis_onesheet.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Fantastic Beasts and Where to Find Them: An IMAX 3D Experience,"9:15am	12:30pm	3:45pm	7:00pm	10:15pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/196130/fnbst_imax_1sht_2764x4227_d.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Fantastic Beasts and Where to Find Them,"11:30am	2:45pm	6:00pm	9:15pm	8:00pm	11:05pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/175212/fantasticbeasts-posterart.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",The Edge of Seventeen,"11:00am	1:45pm	4:20pm	7:05pm	9:45pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194273/theedgeofseventeen-posterar.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Almost Christmas,10:25pm,http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/188530/atc_fin1sheet3_rgb_1.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Arrival,"10:40am	1:40pm	4:40pm	7:40pm	10:40pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194802/arrival_rated_payoff_1-sht_.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Doctor Strange,"11:15am	2:15pm	5:15pm	8:15pm	11:00pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/186645/doctorstrange-newposterart.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Hacksaw Ridge,"9:35am	12:45pm	4:00pm	7:25pm	10:30pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/194560/hacksawridge-posterart.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",Trolls,"9:30am	12:00pm	2:30pm	5:00pm	7:30pm	10:00pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/159278/trolls_poster.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",The Accountant,"1:30pm	10:50pm",http://images.fandango.com/r102.4/ImageRenderer/134/0/redesign/static/img/default_poster.png/0/cp/cpc/images/masterrepository/fandango/188521/the-accountant_poster.jpg
AMC Century City 15,"10250 Santa Monica Boulevard	 Los Angeles	 CA 90067",The Comedian,"10:00am	1:00pm	4:00pm	7:00pm	10:00pm",http://images.fandango.com/r102.4/redesign/static/img/default_poster.png
